IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.82.161,443,443,true,FRA,Europe,Frankfurt,217,9.27
34.118.29.222,443,443,true,FRA,Europe,Frankfurt,205,9.27
34.154.240.106,443,443,true,FRA,Europe,Frankfurt,174,9.27
34.65.208.254,443,443,true,FRA,Europe,Frankfurt,181,9.25
34.116.176.52,443,443,true,FRA,Europe,Frankfurt,196,9.25
34.118.46.206,443,443,true,FRA,Europe,Frankfurt,201,9.24
34.116.188.200,443,443,true,FRA,Europe,Frankfurt,250,9.24
35.204.119.111,443,443,true,FRA,Europe,Frankfurt,179,9.22
34.118.23.110,443,443,true,FRA,Europe,Frankfurt,190,9.22
34.116.228.154,443,443,true,FRA,Europe,Frankfurt,186,9.22
34.159.238.41,443,443,true,FRA,Europe,Frankfurt,290,9.20
34.154.217.60,443,443,true,FRA,Europe,Frankfurt,188,9.20
34.90.88.12,443,443,true,FRA,Europe,Frankfurt,178,9.19
34.118.8.36,443,443,true,FRA,Europe,Frankfurt,210,9.18
34.116.171.235,443,443,true,FRA,Europe,Frankfurt,189,9.18
34.154.100.69,443,443,true,FRA,Europe,Frankfurt,178,9.18
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,184,9.17
34.159.30.150,443,443,true,FRA,Europe,Frankfurt,189,9.14
34.118.123.180,443,443,true,FRA,Europe,Frankfurt,201,9.14
34.89.146.12,443,443,true,FRA,Europe,Frankfurt,197,9.14
34.154.238.98,443,443,true,FRA,Europe,Frankfurt,184,9.13
34.154.122.73,443,443,true,FRA,Europe,Frankfurt,182,9.12
34.116.171.235,443,443,true,FRA,Europe,Frankfurt,293,9.11
34.118.8.36,443,443,true,FRA,Europe,Frankfurt,223,9.11
34.118.14.3,443,443,true,FRA,Europe,Frankfurt,198,9.10
34.118.126.43,443,443,true,FRA,Europe,Frankfurt,234,9.10
34.90.71.173,443,443,true,FRA,Europe,Frankfurt,187,9.09
34.118.82.161,443,443,true,FRA,Europe,Frankfurt,195,9.09
34.118.104.248,443,443,true,FRA,Europe,Frankfurt,242,9.09
34.118.17.230,443,443,true,FRA,Europe,Frankfurt,219,9.08
34.154.247.147,443,443,true,FRA,Europe,Frankfurt,184,9.05
34.72.146.82,443,443,true,ORD,North America,Chicago,207,9.04
34.65.172.252,443,443,true,FRA,Europe,Frankfurt,209,9.04
34.72.146.82,443,443,true,ORD,North America,Chicago,209,9.03
34.72.146.82,443,443,true,ORD,North America,Chicago,205,9.03
34.70.91.86,443,443,true,ORD,North America,Chicago,207,9.02
34.118.125.121,443,443,true,FRA,Europe,Frankfurt,226,9.02
34.91.91.210,443,443,true,FRA,Europe,Frankfurt,176,9.02
34.66.72.229,443,443,true,ORD,North America,Chicago,206,9.01
35.204.24.165,443,443,true,FRA,Europe,Frankfurt,188,9.01
34.150.133.11,443,443,true,IAD,North America,Ashburn,211,9.01
35.204.126.114,443,443,true,FRA,Europe,Frankfurt,180,9.01
35.226.211.129,443,443,true,ORD,North America,Chicago,227,9.01
34.66.72.229,443,443,true,ORD,North America,Chicago,212,9.01
34.41.252.92,443,443,true,ORD,North America,Chicago,206,9.01
34.72.146.82,443,443,true,ORD,North America,Chicago,206,9.01
34.70.91.86,443,443,true,ORD,North America,Chicago,207,8.98
34.91.217.239,443,443,true,FRA,Europe,Frankfurt,176,8.97
34.116.152.212,443,443,true,FRA,Europe,Frankfurt,259,8.97
34.29.228.169,443,443,true,ORD,North America,Chicago,209,8.97
