IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
146.56.143.97,443,443,true,SIN,Asia Pacific,Singapore,219,8.37
144.21.40.180,443,443,true,FRA,Europe,Frankfurt,177,8.34
141.148.246.87,443,443,true,FRA,Europe,Frankfurt,180,8.32
141.148.238.176,443,443,true,FRA,Europe,Frankfurt,189,8.30
138.3.254.39,443,443,true,FRA,Europe,Frankfurt,180,8.29
143.47.179.64,443,443,true,FRA,Europe,Frankfurt,177,8.26
89.168.96.253,443,443,true,FRA,Europe,Frankfurt,217,8.26
132.145.249.219,443,443,true,FRA,Europe,Frankfurt,175,8.23
138.2.147.203,443,443,true,FRA,Europe,Frankfurt,201,8.22
129.151.205.193,443,443,true,ARN,Europe,Stockholm,236,8.21
140.238.81.146,443,443,true,FRA,Europe,Frankfurt,174,8.18
141.144.196.239,443,443,true,FRA,Europe,Frankfurt,175,8.18
130.162.57.35,443,443,true,FRA,Europe,Frankfurt,211,8.08
79.72.68.106,443,443,true,FRA,Europe,Frankfurt,194,8.07
158.180.52.168,443,443,true,FRA,Europe,Frankfurt,206,8.06
84.8.154.235,443,443,true,FRA,Europe,Frankfurt,188,8.05
144.21.57.133,443,443,true,FRA,Europe,Frankfurt,208,8.04
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,167,8.02
130.162.244.54,443,443,true,FRA,Europe,Frankfurt,171,8.01
141.147.113.126,443,443,true,FRA,Europe,Frankfurt,179,8.01
141.147.43.93,443,443,true,FRA,Europe,Frankfurt,189,8.00
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,219,8.00
79.72.93.227,443,443,true,FRA,Europe,Frankfurt,202,7.98
141.147.63.233,443,443,true,FRA,Europe,Frankfurt,187,7.96
141.144.201.156,443,443,true,FRA,Europe,Frankfurt,160,7.94
130.162.172.193,443,443,true,FRA,Europe,Frankfurt,195,7.94
143.47.225.101,443,443,true,FRA,Europe,Frankfurt,175,7.94
144.21.33.229,443,443,true,FRA,Europe,Frankfurt,174,7.93
158.101.176.62,443,443,true,FRA,Europe,Frankfurt,182,7.91
141.147.1.11,443,443,true,FRA,Europe,Frankfurt,187,7.84
141.147.104.144,443,443,true,FRA,Europe,Frankfurt,224,7.83
130.61.97.55,443,443,true,FRA,Europe,Frankfurt,180,7.78
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,184,7.73
152.67.142.227,443,443,true,FRA,Europe,Frankfurt,210,7.73
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,177,7.72
140.238.120.111,443,443,true,FRA,Europe,Frankfurt,265,7.72
130.61.114.171,443,443,true,FRA,Europe,Frankfurt,190,7.71
141.147.16.152,8443,443,true,FRA,Europe,Frankfurt,200,7.70
141.147.77.230,443,443,true,FRA,Europe,Frankfurt,175,7.69
129.146.46.164,443,443,true,LAX,North America,Los Angeles,219,7.63
144.21.38.38,443,443,true,FRA,Europe,Frankfurt,186,7.52
143.47.224.114,443,443,true,FRA,Europe,Frankfurt,223,7.50
141.147.79.200,443,443,true,FRA,Europe,Frankfurt,173,7.46
192.18.134.231,443,443,true,SJC,North America,San Jose,215,7.44
152.70.123.225,8443,443,true,SJC,North America,San Jose,231,7.43
143.47.179.42,443,443,true,FRA,Europe,Frankfurt,234,7.40
150.230.20.74,443,443,true,FRA,Europe,Frankfurt,173,7.39
164.152.26.70,2052,443,true,ORD,North America,Chicago,239,7.36
150.230.112.166,443,443,true,FRA,Europe,Frankfurt,187,7.29
152.67.151.45,443,443,true,FRA,Europe,Frankfurt,186,7.26
