IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.159.188.41,443,443,true,FRA,Europe,Frankfurt,311,4.73
34.34.125.53,443,443,true,FRA,Europe,Frankfurt,260,4.72
34.118.69.245,443,443,true,FRA,Europe,Frankfurt,272,4.72
34.116.138.182,443,443,true,FRA,Europe,Frankfurt,335,4.72
34.154.185.247,443,443,true,FRA,Europe,Frankfurt,267,4.71
34.116.186.27,443,443,true,FRA,Europe,Frankfurt,281,4.71
34.116.188.130,443,443,true,FRA,Europe,Frankfurt,334,4.70
34.154.104.177,443,443,true,FRA,Europe,Frankfurt,249,4.70
34.116.143.158,443,443,true,FRA,Europe,Frankfurt,282,4.70
35.234.166.80,443,443,true,FRA,Europe,Frankfurt,205,4.69
34.32.230.110,443,443,true,FRA,Europe,Frankfurt,260,4.69
34.91.208.159,443,443,true,FRA,Europe,Frankfurt,260,4.68
35.204.118.92,443,443,true,FRA,Europe,Frankfurt,270,4.68
34.90.182.145,443,443,true,FRA,Europe,Frankfurt,264,4.68
34.65.244.133,443,443,true,FRA,Europe,Frankfurt,265,4.67
34.90.84.203,443,443,true,FRA,Europe,Frankfurt,259,4.66
34.91.159.161,443,443,true,FRA,Europe,Frankfurt,264,4.65
34.118.87.116,443,443,true,FRA,Europe,Frankfurt,274,4.64
34.91.113.182,443,443,true,FRA,Europe,Frankfurt,263,4.64
34.116.237.149,443,443,true,FRA,Europe,Frankfurt,282,4.64
34.154.127.14,443,443,true,FRA,Europe,Frankfurt,264,4.64
34.116.151.200,443,443,true,FRA,Europe,Frankfurt,278,4.64
34.107.126.162,443,443,true,FRA,Europe,Frankfurt,262,4.64
34.118.3.26,443,443,true,FRA,Europe,Frankfurt,270,4.63
34.154.47.81,443,443,true,FRA,Europe,Frankfurt,269,4.62
34.65.77.135,443,443,true,FRA,Europe,Frankfurt,185,4.62
34.65.221.3,443,443,true,FRA,Europe,Frankfurt,262,4.61
34.90.187.36,443,443,true,FRA,Europe,Frankfurt,261,4.59
34.116.203.237,443,443,true,FRA,Europe,Frankfurt,323,4.57
34.118.117.182,443,443,true,FRA,Europe,Frankfurt,418,4.57
34.116.153.159,443,443,true,FRA,Europe,Frankfurt,282,4.55
34.89.248.175,443,443,true,FRA,Europe,Frankfurt,252,4.55
34.118.22.194,443,443,true,FRA,Europe,Frankfurt,200,4.53
34.118.27.114,443,443,true,FRA,Europe,Frankfurt,280,4.52
34.118.125.121,443,443,true,FRA,Europe,Frankfurt,270,4.52
34.34.33.153,443,443,true,FRA,Europe,Frankfurt,273,4.52
34.118.50.168,443,443,true,FRA,Europe,Frankfurt,283,4.51
34.118.46.204,443,443,true,FRA,Europe,Frankfurt,272,4.51
34.65.230.120,443,443,true,FRA,Europe,Frankfurt,262,4.51
34.32.255.76,443,443,true,FRA,Europe,Frankfurt,259,4.51
34.118.68.179,443,443,true,FRA,Europe,Frankfurt,271,4.51
34.90.84.203,443,443,true,FRA,Europe,Frankfurt,268,4.49
34.65.242.41,443,443,true,FRA,Europe,Frankfurt,254,4.49
34.118.77.223,443,443,true,FRA,Europe,Frankfurt,282,4.48
34.118.7.233,443,443,true,FRA,Europe,Frankfurt,273,4.48
34.118.87.194,443,443,true,FRA,Europe,Frankfurt,288,4.48
34.116.206.190,443,443,true,FRA,Europe,Frankfurt,276,4.48
35.204.239.2,443,443,true,FRA,Europe,Frankfurt,269,4.47
34.118.109.159,443,443,true,FRA,Europe,Frankfurt,296,4.45
34.116.139.217,443,443,true,FRA,Europe,Frankfurt,272,4.45
34.118.116.97,443,443,true,FRA,Europe,Frankfurt,285,4.45
34.116.157.255,443,443,true,FRA,Europe,Frankfurt,273,4.44
34.118.94.159,443,443,true,FRA,Europe,Frankfurt,270,4.44
34.154.109.6,443,443,true,FRA,Europe,Frankfurt,259,4.43
34.90.84.203,443,443,true,FRA,Europe,Frankfurt,260,4.43
34.107.118.80,443,443,true,FRA,Europe,Frankfurt,328,4.42
34.118.52.251,443,443,true,FRA,Europe,Frankfurt,272,4.42
34.118.93.225,443,443,true,FRA,Europe,Frankfurt,328,4.40
34.65.7.101,443,443,true,FRA,Europe,Frankfurt,251,4.39
34.65.72.89,443,443,true,FRA,Europe,Frankfurt,186,4.39
34.116.138.182,443,443,true,FRA,Europe,Frankfurt,284,4.36
